35 49 24 13 aluminium
35 8 12 14 aluminium
27 40 19 12 aluminium
26 95 13 13 aluminium
23 17 10 12 aluminium
30 9 19 13 aluminium
29 23 53 13 aluminium
23 21 93 13 aluminium
31 50 36 15 aluminium
33 77 30 12 aluminium
26 55 2 14 aluminium
29 76 86 15 aluminium
23 63 35 12 aluminium
28 14 5 12 aluminium
33 96 5 15 aluminium
23 14 67 16 aluminium
29 73 76 13 aluminium
31 48 15 13 aluminium
25 45 86 14 aluminium
39 60 2 16 aluminium
21 35 85 11 aluminium
28 58 48 15 aluminium
26 42 21 12 aluminium
27 8 56 13 aluminium
27 54 14 12 aluminium
22 56 52 16 aluminium
29 68 74 11 aluminium
26 11 20 12 aluminium
22 31 33 16 aluminium
29 58 64 12 aluminium
34 13 38 15 aluminium
35 91 67 16 aluminium
20 59 64 14 aluminium
29 45 28 11 aluminium
28 13 43 16 aluminium
26 35 73 16 aluminium
35 25 8 12 aluminium
29 3 10 12 aluminium
33 43 15 16 aluminium
34 3 11 16 aluminium
38 49 36 14 aluminium
20 19 91 11 aluminium
24 24 46 15 aluminium
24 66 59 12 aluminium
37 88 0 11 aluminium
24 63 88 14 aluminium
25 22 47 14 aluminium
27 62 65 16 aluminium
36 34 53 15 aluminium
30 53 75 12 aluminium
37 23 49 11 aluminium
31 57 50 14 aluminium
32 40 25 11 aluminium
22 69 46 12 aluminium
36 23 23 12 aluminium
24 53 56 16 aluminium
30 70 32 14 aluminium
38 81 28 13 aluminium
38 27 18 11 aluminium
35 37 59 15 aluminium
27 89 35 14 aluminium
21 74 77 14 aluminium
34 70 18 11 aluminium
29 88 71 13 aluminium
21 30 34 13 aluminium
32 39 76 15 aluminium
38 46 94 15 aluminium
37 57 6 13 aluminium
37 63 16 16 aluminium
31 20 70 12 aluminium
36 31 30 16 aluminium
24 91 56 16 aluminium
35 63 79 16 aluminium
23 21 93 16 aluminium
30 99 10 15 aluminium
36 0 62 14 aluminium
25 2 41 15 aluminium
22 27 2 15 aluminium
30 66 58 14 aluminium
33 52 47 16 aluminium
36 98 41 11 aluminium
35 90 27 11 aluminium
22 77 2 12 aluminium
20 4 2 11 aluminium
20 13 98 13 aluminium
26 78 87 14 aluminium
34 23 89 11 aluminium
28 88 82 14 aluminium
23 64 9 13 aluminium
30 60 42 14 aluminium
27 73 59 16 aluminium
38 94 22 12 aluminium
25 69 64 12 aluminium
36 26 78 14 aluminium
36 47 73 13 aluminium
36 87 64 16 aluminium
25 89 24 12 aluminium
26 49 85 14 aluminium
27 31 46 15 aluminium
36 84 94 11 aluminium
30 72 78 16 aluminium
25 67 70 11 aluminium
34 1 51 16 aluminium
39 70 75 12 aluminium
23 1 46 15 aluminium
32 47 62 13 aluminium
24 51 16 11 aluminium
37 17 56 16 aluminium
27 28 63 15 aluminium
29 33 78 16 aluminium
26 41 76 15 aluminium
37 70 73 11 aluminium
22 1 60 11 aluminium
28 52 67 13 aluminium
28 74 71 11 aluminium
38 25 38 16 aluminium
21 58 38 13 aluminium
29 35 98 16 aluminium
28 72 91 11 aluminium
27 53 83 11 aluminium
23 8 38 13 aluminium
21 25 5 15 aluminium
35 23 46 12 aluminium
21 57 5 11 aluminium
20 36 31 14 aluminium
22 31 78 12 aluminium
20 78 33 12 aluminium
21 12 19 14 aluminium
30 72 96 16 aluminium
34 92 48 12 aluminium
35 21 41 11 aluminium
29 16 89 11 aluminium
21 83 75 12 aluminium
28 11 74 14 aluminium
35 57 16 16 aluminium
33 28 1 14 aluminium
32 21 7 16 aluminium
39 73 11 12 aluminium
22 17 78 11 aluminium
24 4 41 14 aluminium
39 25 43 16 aluminium
37 29 81 11 aluminium
27 35 77 12 aluminium
23 67 19 14 aluminium
27 88 13 13 aluminium
26 55 11 16 aluminium
24 0 66 14 aluminium
25 47 64 15 aluminium
25 71 62 14 aluminium
31 33 10 13 aluminium
20 38 48 15 aluminium
33 83 22 13 aluminium
38 28 28 11 aluminium
36 7 7 13 aluminium
